Input test: TestFiles/rubik3.d=005
Id       Instance                                Time-In-Secs   Generated Nodes         Distance
1        RED GREEN GREEN GREEN BLUE YELLOW WHITE WHITE GREEN ORANGE WHITE RED ORANGE YELLOW YELLOW BLUE WHITE WHITE BLUE WHITE GREEN GREEN BLUE WHITE YELLOW ORANGE GREEN GREEN BLUE BLUE RED BLUE YELLOW RED ORANGE ORANGE ORANGE RED RED YELLOW WHITE ORANGE ORANGE YELLOW YELLOW BLUE RED RED      0.000075        4                       4
2        RED GREEN GREEN GREEN ORANGE GREEN GREEN GREEN GREEN BLUE WHITE WHITE GREEN WHITE WHITE BLUE RED RED BLUE BLUE BLUE BLUE BLUE RED YELLOW ORANGE RED RED YELLOW RED RED ORANGE WHITE WHITE ORANGE ORANGE ORANGE ORANGE ORANGE WHITE BLUE YELLOW YELLOW YELLOW WHITE YELLOW YELLOW YELLOW      0.000048        3                       3
3        RED BLUE WHITE WHITE ORANGE YELLOW YELLOW YELLOW GREEN GREEN YELLOW YELLOW GREEN WHITE WHITE ORANGE ORANGE RED RED RED BLUE BLUE BLUE ORANGE YELLOW BLUE RED RED GREEN GREEN GREEN GREEN WHITE WHITE BLUE BLUE ORANGE ORANGE ORANGE WHITE BLUE RED RED ORANGE WHITE YELLOW YELLOW GREEN      0.000070        4                       4
4        ORANGE ORANGE RED WHITE WHITE WHITE RED GREEN GREEN GREEN GREEN BLUE BLUE ORANGE GREEN GREEN BLUE RED RED RED YELLOW YELLOW ORANGE ORANGE YELLOW BLUE ORANGE ORANGE YELLOW YELLOW YELLOW YELLOW ORANGE BLUE BLUE GREEN GREEN WHITE WHITE RED WHITE WHITE WHITE BLUE BLUE YELLOW RED RED      0.000045        3                       3
5        RED RED RED ORANGE GREEN YELLOW YELLOW YELLOW ORANGE YELLOW GREEN ORANGE ORANGE WHITE WHITE BLUE ORANGE ORANGE RED RED GREEN GREEN BLUE WHITE GREEN ORANGE BLUE BLUE YELLOW BLUE BLUE GREEN RED RED YELLOW YELLOW ORANGE WHITE WHITE RED WHITE WHITE WHITE GREEN BLUE GREEN YELLOW BLUE      0.000060        5                       5
6        RED YELLOW ORANGE BLUE RED RED RED RED ORANGE RED WHITE ORANGE GREEN ORANGE GREEN ORANGE GREEN WHITE BLUE BLUE BLUE RED ORANGE GREEN BLUE BLUE YELLOW BLUE YELLOW YELLOW YELLOW ORANGE YELLOW YELLOW RED WHITE WHITE WHITE ORANGE YELLOW BLUE GREEN WHITE WHITE WHITE GREEN GREEN GREEN      0.000053        5                       5
7        BLUE BLUE RED RED RED RED RED YELLOW BLUE BLUE GREEN WHITE BLUE BLUE GREEN BLUE YELLOW WHITE WHITE ORANGE YELLOW YELLOW BLUE YELLOW YELLOW ORANGE ORANGE ORANGE ORANGE RED YELLOW YELLOW GREEN GREEN ORANGE GREEN GREEN GREEN RED RED WHITE ORANGE ORANGE GREEN WHITE WHITE WHITE WHITE      0.000054        3                       3
8        BLUE RED RED GREEN RED RED RED YELLOW YELLOW ORANGE ORANGE YELLOW BLUE BLUE GREEN YELLOW ORANGE ORANGE BLUE YELLOW YELLOW RED WHITE WHITE GREEN BLUE GREEN GREEN YELLOW ORANGE YELLOW GREEN BLUE BLUE ORANGE GREEN GREEN RED RED WHITE WHITE ORANGE WHITE WHITE ORANGE BLUE WHITE WHITE      0.000151        7                       5
9        RED RED RED BLUE BLUE GREEN YELLOW YELLOW YELLOW YELLOW GREEN GREEN GREEN BLUE RED RED ORANGE ORANGE WHITE WHITE BLUE BLUE BLUE RED GREEN ORANGE WHITE WHITE YELLOW YELLOW YELLOW GREEN RED BLUE BLUE WHITE ORANGE ORANGE ORANGE RED WHITE WHITE WHITE ORANGE ORANGE GREEN GREEN YELLOW      0.000063        3                       3
10       RED ORANGE ORANGE YELLOW WHITE ORANGE GREEN RED GREEN BLUE WHITE WHITE BLUE BLUE YELLOW YELLOW YELLOW YELLOW BLUE BLUE BLUE ORANGE ORANGE WHITE ORANGE BLUE RED RED YELLOW GREEN GREEN WHITE ORANGE RED RED GREEN WHITE GREEN GREEN YELLOW WHITE GREEN RED RED BLUE ORANGE YELLOW WHITE      0.000083        5                       5
