Input test: TestFiles/rubik3.d=010       
Id       Instance                                Time-In-Secs   Generated Nodes         Distance
1        ORANGE ORANGE RED WHITE BLUE WHITE RED ORANGE YELLOW YELLOW YELLOW BLUE YELLOW GREEN WHITE GREEN GREEN YELLOW BLUE GREEN RED RED WHITE BLUE GREEN GREEN RED ORANGE WHITE WHITE GREEN WHITE BLUE BLUE GREEN BLUE ORANGE YELLOW ORANGE RED ORANGE YELLOW YELLOW ORANGE BLUE RED WHITE RED      0.000526        19                      8
2        RED WHITE WHITE RED RED WHITE RED RED GREEN GREEN GREEN BLUE GREEN YELLOW GREEN YELLOW BLUE BLUE BLUE ORANGE ORANGE YELLOW ORANGE BLUE BLUE BLUE YELLOW GREEN YELLOW GREEN YELLOW GREEN YELLOW ORANGE BLUE ORANGE ORANGE ORANGE ORANGE YELLOW WHITE WHITE WHITE WHITE WHITE RED RED RED      0.004633        210                     8
3        BLUE RED YELLOW WHITE WHITE ORANGE RED RED GREEN GREEN GREEN BLUE YELLOW YELLOW RED RED WHITE YELLOW YELLOW BLUE GREEN WHITE ORANGE ORANGE WHITE GREEN RED BLUE ORANGE RED ORANGE ORANGE BLUE GREEN GREEN WHITE RED YELLOW ORANGE BLUE BLUE GREEN BLUE YELLOW WHITE WHITE YELLOW ORANGE      0.000816        34                      8
4        ORANGE BLUE GREEN GREEN BLUE ORANGE GREEN ORANGE WHITE WHITE YELLOW BLUE RED YELLOW BLUE RED BLUE YELLOW WHITE YELLOW ORANGE GREEN RED BLUE RED RED GREEN ORANGE YELLOW WHITE GREEN RED ORANGE GREEN YELLOW WHITE WHITE GREEN RED YELLOW BLUE RED YELLOW BLUE WHITE WHITE ORANGE ORANGE      0.042153        2038                    10
5        RED RED RED GREEN GREEN WHITE WHITE YELLOW BLUE BLUE GREEN BLUE BLUE ORANGE WHITE ORANGE YELLOW YELLOW BLUE YELLOW YELLOW RED ORANGE RED ORANGE BLUE YELLOW BLUE ORANGE ORANGE RED ORANGE GREEN GREEN BLUE GREEN GREEN WHITE ORANGE WHITE YELLOW YELLOW WHITE WHITE WHITE GREEN RED RED      0.000025        4                       4
6        YELLOW RED RED BLUE WHITE WHITE ORANGE GREEN YELLOW GREEN GREEN ORANGE ORANGE ORANGE GREEN BLUE ORANGE ORANGE ORANGE YELLOW BLUE GREEN RED WHITE RED BLUE GREEN YELLOW BLUE BLUE WHITE GREEN GREEN YELLOW BLUE RED BLUE ORANGE WHITE RED YELLOW WHITE WHITE RED RED WHITE YELLOW YELLOW      0.003057        167                     9
7        ORANGE ORANGE WHITE WHITE RED WHITE WHITE ORANGE YELLOW GREEN GREEN GREEN GREEN GREEN GREEN GREEN ORANGE RED BLUE RED ORANGE ORANGE RED ORANGE YELLOW YELLOW YELLOW YELLOW YELLOW YELLOW GREEN YELLOW BLUE BLUE ORANGE BLUE BLUE WHITE WHITE WHITE WHITE RED RED BLUE BLUE BLUE RED RED      0.004543        208                     7
8        BLUE WHITE WHITE WHITE RED BLUE RED BLUE YELLOW GREEN GREEN RED RED BLUE BLUE GREEN ORANGE ORANGE BLUE ORANGE YELLOW GREEN WHITE ORANGE GREEN GREEN GREEN RED RED YELLOW YELLOW YELLOW BLUE RED WHITE WHITE YELLOW YELLOW ORANGE WHITE ORANGE ORANGE WHITE RED GREEN BLUE ORANGE YELLOW      0.000099        7                       7
9        WHITE GREEN YELLOW YELLOW BLUE BLUE RED WHITE RED ORANGE YELLOW YELLOW GREEN GREEN GREEN RED RED BLUE ORANGE WHITE WHITE WHITE BLUE RED ORANGE ORANGE WHITE GREEN WHITE GREEN YELLOW RED ORANGE YELLOW RED RED BLUE WHITE GREEN YELLOW ORANGE BLUE BLUE BLUE YELLOW ORANGE GREEN ORANGE      0.000139        8                       7
10       BLUE WHITE GREEN GREEN BLUE BLUE ORANGE ORANGE YELLOW ORANGE WHITE BLUE BLUE YELLOW YELLOW YELLOW WHITE ORANGE ORANGE RED RED WHITE BLUE WHITE GREEN RED GREEN BLUE YELLOW GREEN WHITE YELLOW YELLOW WHITE RED RED GREEN GREEN ORANGE YELLOW RED GREEN ORANGE ORANGE WHITE RED RED BLUE      0.000653        19                      8
