Input test: topspin_14_4/topspin_14_4.d=010    
Id       Instance                                Time-In-Secs   Generated Nodes         Distance
1        9 7 1 0 3 4 5 10 2 6 12 8 11 13         0.927679        396135                          51
2        4 5 6 3 10 11 1 7 8 9 2 12 0 13         1.356329        590398                          54
3        4 9 10 1 5 8 11 12 2 3 7 6 0 13         0.034345        12322                   35
4        9 5 3 11 10 6 0 4 7 1 2 12 8 13         0.795099        271700                          52
5        4 10 2 5 6 7 0 12 11 9 3 8 1 13         1.534786        415327                          51
6        9 6 11 3 1 0 12 7 8 2 10 5 4 13         1.462540        517454                          54
7        7 3 8 1 4 5 6 12 10 0 2 11 9 13         0.733430        211075                          50
8        0 7 6 5 4 8 9 1 10 2 3 12 11 13         0.000810        353                     21
9        9 12 11 0 7 1 2 3 8 6 5 4 10 13         0.046892        13935                   35
10       7 2 0 3 4 8 1 6 5 9 10 12 11 13         0.067903        19266                   35
