Input test: topspin_12_4/topspin_12_4.d=005
Id       Instance                                Time-In-Secs   Generated Nodes         Distance
1        8 4 5 10 9 7 0 1 2 3 6 11       0.000447        65                      15
2        8 4 3 2 9 5 6 10 1 0 7 11       0.000509        92                      15
3        0 1 2 9 4 5 7 8 3 6 10 11       0.000362        67                      15
4        8 7 1 0 4 5 6 9 2 3 10 11       0.000372        67                      15
5        0 10 9 2 1 6 7 3 4 5 8 11       0.000428        84                      15
6        8 3 2 10 9 4 1 7 6 5 0 11       0.000698        102                     15
7        7 6 9 8 0 2 10 1 5 4 3 11       0.000543        71                      15
8        1 5 4 3 2 0 8 10 9 7 6 11       0.000580        88                      15
9        0 1 5 3 8 7 6 4 10 9 2 11       0.000497        64                      15
10       0 7 6 2 1 8 5 10 9 3 4 11       0.000622        93                      15
