Input test: topspin_14_4/topspin_14_4.d=2000 
Id       Instance                                Time-In-Secs   Generated Nodes         Distance
1        7 5 8 0 12 4 10 11 6 2 1 3 9 13         111.066055      27271479                        74
2        10 5 9 3 2 6 1 8 11 7 4 12 0 13         44.591160       12613238                        72
3        3 7 12 5 1 10 4 9 11 2 8 0 6 13         89.729485       29672987                        78
4        2 12 5 4 6 10 0 8 3 1 11 7 9 13         26.153971       9711889                         69
5        12 9 4 7 3 11 8 5 1 6 10 2 0 13         6.964130        1608320                         62
6        9 4 11 12 5 8 6 10 0 2 3 1 7 13         4.792897        1826403                         62
7        3 9 11 8 0 7 12 5 1 2 4 10 6 13         74.537979       22905030                        71
8        11 3 6 10 12 8 2 7 1 9 0 5 4 13         89.056442       18623815                        71
9        9 5 7 6 2 12 1 3 11 4 10 8 0 13         79.132660       16271932                        73
10       3 9 2 6 0 7 10 4 5 12 1 8 11 13         123.750786      25035424                        73
